COHORTE;PERÍODO ACADÉMICO CURSA;SEDE;CAMPUS;CARRERA;ÁREA;MODALIDAD;TIPO PROYECTOEDUCATIVO;NRO ALUMNOS
2016 - 2017;2019 - 2020;MATRIZ CUENCA;EL VECINO;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;82
2016 - 2017;2019 - 2020;MATRIZ CUENCA;EL VECINO;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;10
2016 - 2017;2019 - 2020;QUITO;EL GIRÓN;EDUCACIÓN;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;9
2016 - 2017;2019 - 2020;QUITO;EL GIRÓN;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;28
2016 - 2017;2019 - 2020;QUITO;EL GIRÓN;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;32
2016 - 2017;2019 - 2020;QUITO;SUR;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;70
2016 - 2017;2019 - 2020;QUITO;SUR;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;51
2016 - 2017;2019 - 2020;QUITO;SUR;INGENIERÍA CIVIL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;85
2016 - 2017;2020 - 2020;GUAYAQUIL;CENTENARIO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;34
2016 - 2017;2020 - 2020;GUAYAQUIL;CENTENARIO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;21
2016 - 2017;2020 - 2020;MATRIZ CUENCA;EL VECINO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;52
2016 - 2017;2020 - 2020;MATRIZ CUENCA;EL VECINO;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;28
2016 - 2017;2020 - 2020;MATRIZ CUENCA;EL VECINO;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;25
2016 - 2017;2020 - 2020;MATRIZ CUENCA;EL VECINO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;42
2016 - 2017;2020 - 2020;MATRIZ CUENCA;EL VECINO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;16
2016 - 2017;2020 - 2020;MATRIZ CUENCA;EL VECINO;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;74
2016 - 2017;2020 - 2020;MATRIZ CUENCA;EL VECINO;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;9
2016 - 2017;2020 - 2020;QUITO;EL GIRÓN;EDUCACIÓN;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;9
2016 - 2017;2020 - 2020;QUITO;EL GIRÓN;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;28
2016 - 2017;2020 - 2020;QUITO;EL GIRÓN;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;34
2016 - 2017;2020 - 2020;QUITO;SUR;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;61
2016 - 2017;2020 - 2020;QUITO;SUR;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;49
2016 - 2017;2020 - 2020;QUITO;SUR;INGENIERÍA CIVIL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;72
2016 - 2017;2020 - 2021;GUAYAQUIL;CENTENARIO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;35
2016 - 2017;2020 - 2021;GUAYAQUIL;CENTENARIO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;22
2016 - 2017;2020 - 2021;MATRIZ CUENCA;EL VECINO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;51
2016 - 2017;2020 - 2021;MATRIZ CUENCA;EL VECINO;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;26
2016 - 2017;2020 - 2021;MATRIZ CUENCA;EL VECINO;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;25
2016 - 2017;2020 - 2021;MATRIZ CUENCA;EL VECINO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;40
2016 - 2017;2020 - 2021;MATRIZ CUENCA;EL VECINO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;19
2016 - 2017;2020 - 2021;MATRIZ CUENCA;EL VECINO;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;74
2016 - 2017;2020 - 2021;MATRIZ CUENCA;EL VECINO;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;10
2016 - 2017;2020 - 2021;QUITO;EL GIRÓN;EDUCACIÓN;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;9
2016 - 2017;2020 - 2021;QUITO;EL GIRÓN;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;28
2016 - 2017;2020 - 2021;QUITO;EL GIRÓN;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;34
2016 - 2017;2020 - 2021;QUITO;SUR;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;64
2016 - 2017;2020 - 2021;QUITO;SUR;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;50
2016 - 2017;2020 - 2021;QUITO;SUR;INGENIERÍA CIVIL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;76
2016 - 2017;2021 - 2021;GUAYAQUIL;CENTENARIO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;31
2016 - 2017;2021 - 2021;GUAYAQUIL;CENTENARIO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;22
2016 - 2017;2021 - 2021;MATRIZ CUENCA;EL VECINO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;50
2016 - 2017;2021 - 2021;MATRIZ CUENCA;EL VECINO;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;2
2016 - 2017;2021 - 2021;MATRIZ CUENCA;EL VECINO;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;3
2016 - 2017;2021 - 2021;MATRIZ CUENCA;EL VECINO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;40
2016 - 2017;2021 - 2021;MATRIZ CUENCA;EL VECINO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;19
2016 - 2017;2021 - 2021;MATRIZ CUENCA;EL VECINO;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;77
2016 - 2017;2021 - 2021;MATRIZ CUENCA;EL VECINO;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;10
2016 - 2017;2021 - 2021;QUITO;EL GIRÓN;EDUCACIÓN;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;1
2016 - 2017;2021 - 2021;QUITO;EL GIRÓN;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;13
2016 - 2017;2021 - 2021;QUITO;EL GIRÓN;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;16
2016 - 2017;2021 - 2021;QUITO;SUR;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;63
2016 - 2017;2021 - 2021;QUITO;SUR;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;49
2016 - 2017;2021 - 2021;QUITO;SUR;INGENIERÍA CIVIL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;72
2016 - 2017;2021 - 2022;GUAYAQUIL;CENTENARIO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;22
2016 - 2017;2021 - 2022;GUAYAQUIL;CENTENARIO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;6
2016 - 2017;2021 - 2022;MATRIZ CUENCA;EL VECINO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;44
2016 - 2017;2021 - 2022;MATRIZ CUENCA;EL VECINO;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;1
2016 - 2017;2021 - 2022;MATRIZ CUENCA;EL VECINO;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;4
2016 - 2017;2021 - 2022;MATRIZ CUENCA;EL VECINO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;33
2016 - 2017;2021 - 2022;MATRIZ CUENCA;EL VECINO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;17
2016 - 2017;2021 - 2022;MATRIZ CUENCA;EL VECINO;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;40
